,number_of_repetitions,indices
someone,6,"[170, 399, 628, 857, 1086, 1315]"
else,6,"[171, 400, 629, 858, 1087, 1316]"
tell,6,"[172, 401, 630, 859, 1088, 1317]"
particularly,6,"[176, 405, 634, 863, 1092, 1321]"
effective,6,"[177, 406, 635, 864, 1093, 1322]"
see,6,"[180, 409, 638, 867, 1096, 1325]"
follow,6,"[184, 413, 642, 871, 1100, 1329]"
take,6,"[187, 416, 645, 874, 1103, 1332]"
sign,6,"[190, 419, 648, 877, 1106, 1335]"
himself,6,"[194, 423, 652, 881, 1110, 1339]"
something,6,"[195, 424, 653, 882, 1111, 1340]"
produce,6,"[197, 426, 655, 884, 1113, 1342]"
wait,12,"[205, 207, 434, 436, 663, 665, 892, 894, 1121, 1123, 1350, 1352]"
fact,6,"[209, 438, 667, 896, 1125, 1354]"
two,6,"[211, 440, 669, 898, 1127, 1356]"
night,6,"[212, 441, 670, 899, 1128, 1357]"
scatter,6,"[220, 449, 678, 907, 1136, 1365]"
bring,6,"[222, 451, 680, 909, 1138, 1367]"
out,6,"[223, 452, 681, 910, 1139, 1368]"
what,6,"[224, 453, 682, 911, 1140, 1369]"
mind,6,"[228, 457, 686, 915, 1144, 1373]"
